[2025-05-28 07:51:24,917] JOTMA ist aktiviert.
[2025-05-28 08:00:51,763] Imported existing <module 'comtypes.gen' from 'C:\\Users\\denni\\OneDrive\\Dokumente\\QuantumShield_Infinity\\venv\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
[2025-05-28 08:00:51,763] Using writeable comtypes cache directory: 'C:\Users\denni\OneDrive\Dokumente\QuantumShield_Infinity\venv\Lib\site-packages\comtypes\gen'
[2025-05-28 08:00:51,930] Infinity-Bridge wird gestartet...
[2025-05-28 08:01:07,492] Beendet durch Benutzer.
[2025-05-28 08:03:38,160] Imported existing <module 'comtypes.gen' from 'C:\\Users\\denni\\OneDrive\\Dokumente\\QuantumShield_Infinity\\venv\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
[2025-05-28 08:03:38,167] Using writeable comtypes cache directory: 'C:\Users\denni\OneDrive\Dokumente\QuantumShield_Infinity\venv\Lib\site-packages\comtypes\gen'
[2025-05-28 08:03:38,351] Infinity-Bridge wird gestartet...
[2025-05-28 08:03:44,765] Beendet durch Benutzer.
[2025-05-28 08:05:39,283] Imported existing <module 'comtypes.gen' from 'C:\\Users\\denni\\OneDrive\\Dokumente\\QuantumShield_Infinity\\venv\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
[2025-05-28 08:05:39,283] Using writeable comtypes cache directory: 'C:\Users\denni\OneDrive\Dokumente\QuantumShield_Infinity\venv\Lib\site-packages\comtypes\gen'
[2025-05-28 08:05:39,461] Infinity-Bridge wird gestartet...
[2025-05-28 08:05:57,928] Eingehend: kannst du mich hören
[2025-05-28 08:05:57,928] JOTMA empfängt: kannst du mich hören
[2025-05-28 08:05:57,928] Antwort: JOTMA sagt: Analyse unklar.
[2025-05-28 08:06:22,735] Eingehend: beenden
[2025-05-28 08:06:22,735] JOTMA empfängt: beenden
[2025-05-28 08:06:22,736] Antwort: JOTMA sagt: Analyse unklar.
[2025-05-28 08:06:26,066] Beendet durch Benutzer.
[2025-05-28 08:09:03,434] JOTMA ist aktiviert.
[2025-05-28 08:09:30,460] JOTMA ist aktiviert.
[2025-05-28 08:09:39,986] JOTMA empfängt: ich höre dich nicht 
[2025-05-28 08:10:07,395] JOTMA ist aktiviert.
[2025-05-28 08:16:49,098] JOTMA ist aktiviert.
[2025-05-28 08:18:36,354] JOTMA ist aktiviert.
[2025-05-28 08:18:46,487] JOTMA empfängt: hey ich bin kneo meinHerz
[2025-05-28 08:19:08,193] JOTMA empfängt: beendet
[2025-05-28 08:30:49,138] Imported existing <module 'comtypes.gen' from 'C:\\Users\\denni\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python312\\site-packages\\comtypes\\gen\\__init__.py'>
[2025-05-28 08:30:49,138] Using writeable comtypes cache directory: 'C:\Users\denni\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\comtypes\gen'
[2025-05-28 08:30:49,516] JOTMA ist aktiviert.
[2025-05-28 08:31:11,938] JOTMA sagt: Analyse unklar.
